"序号","名称","分类","等级","预估工时天","模拟类型","可行性分","可行性等级","优先级分","价值分","技术风险","疑似重复数","评估结论","分期建议","排名"
"1","康威生命游戏","涌现与自组织","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","72"
"2","Langton蚂蚁","涌现与自组织","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","1"
"3","Boids鸟群模拟","涌现与自组织","A级","3","可调参数模拟","78","中可行","78","78","低","1","中高价值扩展；中工时；技术风险低（粒子系统）；参数型交互，开发阻力较低；主题独立","P1-优先排期","86"
"4","蚁群觅食","涌现与自组织","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","25"
"5","贝纳德对流","涌现与自组织","A级","3","可调参数模拟","73","中可行","76","78","中","1","中高价值扩展；中工时；技术风险中（WebGL）；参数型交互，开发阻力较低；主题独立","P1-优先排期","89"
"6","反应扩散(图灵斑图)","涌现与自组织","S级","5","交互叙事","35","低可行","71","95","高","1","高价值主线；长工时；技术风险高（WebGL、着色器）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","192"
"7","沙堆模型(自组织临界性)","涌现与自组织","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","97"
"8","谢林隔离模型","涌现与自组织","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","2"
"9","幽灵堵塞","涌现与自组织","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","73"
"10","元胞自动机(Rule 30/110)","涌现与自组织","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","98"
"11","双摆","混沌与非线性","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","74"
"12","洛伦兹吸引子","混沌与非线性","A级","3","可调参数模拟","63","低可行","72","78","高","1","中高价值扩展；中工时；技术风险高（3D、Three.js）；参数型交互，开发阻力较低；主题独立","P3-后置探索","187"
"13","Logistic映射","混沌与非线性","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","3"
"14","三体问题","混沌与非线性","S级","6","交互叙事","35","低可行","71","95","中","2","高价值主线；长工时；技术风险中（Three.js）；叙事型交互，对设计一致性要求更高；疑似同主题重复(2)","P3-后置探索","193"
"15","Mandelbrot集","混沌与非线性","A级","3","可调参数模拟","63","低可行","72","78","高","1","中高价值扩展；中工时；技术风险高（WebGL、着色器）；参数型交互，开发阻力较低；主题独立","P3-后置探索","188"
"16","Julia集","混沌与非线性","B级","1","可调参数模拟","90","高可行","72","60","中","1","探索性补充；短工时；技术风险中（着色器）；参数型交互，开发阻力较低；主题独立","P3-后置探索","189"
"17","科赫雪花与分形树","混沌与非线性","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","99"
"18","费根鲍姆常数","混沌与非线性","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","100"
"19","奇异吸引子合集(Rossler/Chen)","混沌与非线性","B级","1","可调参数模拟","80","中可行","68","60","高","1","探索性补充；短工时；技术风险高（3D、Three.js）；参数型交互，开发阻力较低；主题独立","P3-后置探索","200"
"20","囚徒困境锦标赛","博弈与策略","S级","6","交互叙事","47","低可行","75.8","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","93"
"21","公地悲剧","博弈与策略","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","26"
"22","鹰鸽博弈(演化稳定策略)","博弈与策略","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","4"
"23","拍卖机制对比","博弈与策略","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","101"
"24","纳什均衡可视化","博弈与策略","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","102"
"25","最后通牒博弈","博弈与策略","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","145"
"26","演化博弈(空间囚徒困境)","博弈与策略","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","27"
"27","蒙提霍尔问题(三门问题)","概率与统计直觉","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","75"
"28","高尔顿板(正态分布)","概率与统计直觉","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","5"
"29","随机漫步与布朗运动","概率与统计直觉","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","6"
"30","大数定律","概率与统计直觉","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","103"
"31","生日悖论","概率与统计直觉","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","146"
"32","贝叶斯定理直觉","概率与统计直觉","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","28"
"33","中心极限定理","概率与统计直觉","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","104"
"34","赌徒谬误","概率与统计直觉","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","147"
"35","辛普森悖论","概率与统计直觉","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","148"
"36","马尔可夫链","概率与统计直觉","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","7"
"37","双缝实验(波粒二象性)","物理模拟","S级","7","交互叙事","37","低可行","71.8","95","低","2","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；疑似同主题重复(2)","P3-后置探索","191"
"38","弹性碰撞与动量守恒","物理模拟","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","8"
"39","轨道力学(引力弹弓)","物理模拟","S级","6","交互叙事","47","低可行","75.8","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","94"
"40","拉格朗日点","物理模拟","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","29"
"41","电场线与等势面","物理模拟","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","9"
"42","热传导扩散","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","105"
"43","波的叠加与驻波","物理模拟","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","10"
"44","多普勒效应","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","2","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；疑似同主题重复(2)","P2-常规排期","106"
"45","单摆与共振","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","107"
"46","流体力学(卡门涡街)","物理模拟","A级","3","可调参数模拟","73","中可行","76","78","中","1","中高价值扩展；中工时；技术风险中（WebGL）；参数型交互，开发阻力较低；主题独立","P1-优先排期","90"
"47","模拟退火","优化与搜索","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","11"
"48","遗传算法(进化行走生物)","优化与搜索","S级","7","交互叙事","34","低可行","70.6","95","低","1","高价值主线；长工时；技术风险低（进化）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","195"
"49","A*寻路算法","优化与搜索","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","12"
"50","旅行商问题(TSP)","优化与搜索","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","30"
"51","梯度下降可视化","优化与搜索","A级","3","可调参数模拟","73","中可行","76","78","中","1","中高价值扩展；中工时；技术风险中（3D）；参数型交互，开发阻力较低；主题独立","P1-优先排期","91"
"52","粒子群优化(PSO)","优化与搜索","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","108"
"53","迷宫生成与求解","优化与搜索","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","109"
"54","排序算法可视化","优化与搜索","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","110"
"55","六度分隔(小世界网络)","网络与传播","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","76"
"56","疫情传播SIR模型","网络与传播","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","77"
"57","谣言扩散 vs 真相扩散","网络与传播","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","31"
"58","级联失效","网络与传播","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","32"
"59","无标度网络(BA模型)","网络与传播","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","13"
"60","PageRank可视化","网络与传播","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","111"
"61","社交网络信息茧房","网络与传播","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","33"
"62","易经八卦与二进制","中华智慧","S级","6","交互叙事","47","低可行","75.8","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","95"
"63","梅花易数运算可视化","中华智慧","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","34"
"64","三十六计·围魏救赵","中华智慧","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","35"
"65","三十六计·暗度陈仓","中华智慧","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","36"
"66","三十六计·反间计","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","149"
"67","五行相生相克","中华智慧","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","14"
"68","河图洛书与幻方","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","150"
"69","太极阴阳动态平衡","中华智慧","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","112"
"70","围棋·势与地的博弈","中华智慧","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","37"
"71","孙子兵法·虚实篇","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","151"
"72","群体极化效应","群体心理","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","78"
"73","从众效应(阿希实验)","群体心理","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","79"
"74","信息瀑布(羊群效应)","群体心理","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","38"
"75","旁观者效应","群体心理","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","15"
"76","群体智慧vs群体愚蠢","群体心理","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","39"
"77","社会认同与制服效应","群体心理","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","152"
"78","社会网络中的观点传播","群体心理","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","40"
"79","邓巴数与社交圈层","群体心理","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","113"
"80","破窗效应","群体心理","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","114"
"81","锚定效应","认知偏差","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","80"
"82","框架效应","认知偏差","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","81"
"83","损失厌恶","认知偏差","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","41"
"84","可得性偏差","认知偏差","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","153"
"85","确认偏误","认知偏差","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","42"
"86","沉没成本谬误","认知偏差","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","154"
"87","峰终定律","认知偏差","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","155"
"88","幸存者偏差","认知偏差","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","43"
"89","达克效应","认知偏差","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","115"
"90","选择悖论","认知偏差","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","156"
"91","供需均衡与价格发现","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","44"
"92","凯恩斯选美博弈","经济与金融","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","82"
"93","复利的力量","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","116"
"94","股市泡沫与崩盘","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","45"
"95","看不见的手(市场自调节)","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","46"
"96","信息不对称(柠檬市场)","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","47"
"97","蛛网模型(价格振荡)","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","117"
"98","庞氏骗局动力学","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","48"
"99","比较优势与自由贸易","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","118"
"100","银行挤兑模型","经济与金融","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","157"
