"序号","名称","分类","等级","预估工时天","模拟类型","可行性分","可行性等级","优先级分","价值分","技术风险","疑似重复数","评估结论","分期建议","排名"
"101","捕食者-猎物模型(Lotka-Volterra)","生物与生态","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","83"
"102","自然选择模拟","生物与生态","S级","6","交互叙事","47","低可行","75.8","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","96"
"103","种群增长(Logistic增长)","生物与生态","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","16"
"104","群体免疫阈值","生物与生态","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","49"
"105","红皇后效应(共同进化)","生物与生态","A级","3","可调参数模拟","78","中可行","78","78","低","1","中高价值扩展；中工时；技术风险低（进化）；参数型交互，开发阻力较低；主题独立","P1-优先排期","87"
"106","竞争排除原则","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","119"
"107","L-System植物生长","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","120"
"108","趋化性与细胞迁移","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","121"
"109","信息熵可视化","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","50"
"110","霍夫曼编码","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","51"
"111","纠错码(汉明码)","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","52"
"112","信息压缩(RLE/LZ)","信息论与编码","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","158"
"113","香农通信模型","信息论与编码","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","122"
"114","RSA加密原理","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","53"
"115","七桥问题(欧拉路径)","数学趣题","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","17"
"116","四色定理","数学趣题","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","54"
"117","无穷旅馆(希尔伯特旅馆)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","159"
"118","哥德尔不完备定理(直觉版)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","160"
"119","蒙特卡洛方法求π","数学趣题","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","123"
"120","巴拿赫-塔尔斯基悖论(直觉版)","数学趣题","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","196"
"121","停机问题","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","161"
"122","汉诺塔","数学趣题","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","124"
"123","勾股定理的100种证明","数学趣题","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","55"
"124","不可能图形(彭罗斯三角)","数学趣题","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","197"
"125","多臂老虎机问题","决策与风险","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","56"
"126","凯利赌博准则","决策与风险","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","57"
"127","秘书问题(最优停止策略)","决策与风险","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","84"
"128","圣彼得堡悖论(硬币赌徒破产)","决策与风险","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","18"
"129","期望值与方差的博弈","决策与风险","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","125"
"130","信号检测论(SDT)","决策与风险","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","126"
"131","地图投影失真","日常现象","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","58"
"132","为什么飞机能飞(伯努利原理)","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","127"
"133","虹虹与光的色散","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","128"
"134","为什么天空是蓝色(瑞利散射)","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","162"
"135","密码安全与暴力破解","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","163"
"136","GPS三角定位原理","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","164"
"137","微波炉加热原理","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","165"
"138","地铁等待悖论","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","129"
"139","黄金比例与斜波那契数列","艺术与数学","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","85"
"140","分形艺术(谢尔宾斯基三角形)","艺术与数学","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","19"
"141","音乐与数学(波形叠加)","艺术与数学","A级","3","可调参数模拟","78","中可行","78","78","低","1","中高价值扩展；中工时；技术风险低（音频）；参数型交互，开发阻力较低；主题独立","P1-优先排期","88"
"142","彩色混合(加色vs减色)","艺术与数学","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","166"
"143","透视与灭点(绘画数学)","艺术与数学","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","198"
"144","密铺问题(平面填充)","艺术与数学","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","59"
"145","分形音乐生成","艺术与数学","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","130"
"146","莫比乌斯带与克莱因瓶","数学趣题","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","199"
"147","隐写术(信息藏在图片里)","信息论与编码","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","167"
"148","混沌摄动(奇异吸引子绘画)","艺术与数学","A级","2","可调参数模拟","83","中可行","80","78","中","1","中高价值扩展；短工时；技术风险中（实时渲染）；参数型交互，开发阻力较低；主题独立","P0-立即推进","24"
"149","声音的傷叶图案(克拉德尼)","艺术与数学","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","131"
"150","分形维度(非整数维度)","艺术与数学","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","132"
"151","布朗运动与扩散","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","133"
"152","多普勒效应(光与声)","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","2","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；疑似同主题重复(2)","P2-常规排期","134"
"153","光的双缝干涉","物理模拟","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","60"
"154","弘恩谖论(廻徊型医院问题)","物理模拟","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","168"
"155","库仑勒抖动(物流堆叠)","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","169"
"156","共振现象","物理模拟","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","20"
"157","网络效应(梅特卡夫定律)","网络与传播","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","21"
"158","三十六计·空城计","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","170"
"159","三十六计·苦肉计","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","171"
"160","六度分隔与小世界网络","网络与传播","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","61"
"161","马太效应(贫富分化动力学)","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","62"
"162","拍卖理论(不同拍卖机制)","经济与金融","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","172"
"163","反向传播神经网络","信息论与编码","A级","3","可调参数模拟","73","中可行","76","78","中","1","中高价值扩展；中工时；技术风险中（神经网络）；参数型交互，开发阻力较低；主题独立","P1-优先排期","92"
"164","大数定律与小数定律","概率与统计直觉","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","22"
"165","布尔代数与逻辑门","信息论与编码","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","173"
"166","惠更斯标度变换","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","135"
"167","调和级数与音率","艺术与数学","B级","1","可调参数模拟","95","高可行","74","60","低","1","探索性补充；短工时；技术风险低（音频）；参数型交互，开发阻力较低；主题独立","P2-常规排期","144"
"168","反身比例要数定理","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","174"
"169","团灵机(图灵完备)","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","63"
"170","三十六计·连环计","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","175"
"171","兆罗每尼拿取博弈","博弈与策略","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","176"
"172","先手优势与后手优势","博弈与策略","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","177"
"173","飞行时间膌变慢(狗义相对论)","物理模拟","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","64"
"174","双缝实验(观察者效应)","物理模拟","A级","3","可调参数模拟","81","中可行","79.2","78","低","2","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；疑似同主题重复(2)","P1-优先排期","70"
"175","市场微观结构(订单簿可视化)","经济与金融","B级","1","可调参数模拟","90","高可行","72","60","中","1","探索性补充；短工时；技术风险中（订单簿）；参数型交互，开发阻力较低；主题独立","P3-后置探索","190"
"176","报童问题(最优分配)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","178"
"177","元胞自动机规则110","涌现与自组织","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","136"
"178","反应扩散方程(图灵斑纹)","涌现与自组织","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","65"
"179","交通流模拟(幽灵堵车)","日常现象","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","66"
"180","维诺格拉德图(空间分割)","数学趣题","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","137"
"181","拍频现象(车轮倒转)","日常现象","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","179"
"182","维度诅咒(高维空间直觉)","数学趣题","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","67"
"183","文化演化与模因","群体心理","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","68"
"184","布里丹博弈(分钱策略)","博弈与策略","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","180"
"185","辟谣效应(逆火效应)","认知偏差","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","138"
"186","恶性通货膨胀轮","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","139"
"187","规模法则(尺度与结构)","生物与生态","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","181"
"188","拼图可解性(组合爆炸)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","182"
"189","浑沌边缘(相变)","混沌与非线性","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","23"
"190","三十六计·欲擒故纵","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","183"
"191","调和分析(任何形状=圆之和)","艺术与数学","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","69"
"192","种子用户与技术采纳曲线","网络与传播","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","140"
"193","热传导与温度平衡","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","141"
"194","库洛纳数(黄金分割)","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","184"
"195","肥皂泡和最小曲面","物理模拟","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","142"
"196","三体问题(不可预测性)","混沌与非线性","A级","3","可调参数模拟","81","中可行","79.2","78","低","2","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；疑似同主题重复(2)","P1-优先排期","71"
"197","三十六计·美人计(注意力博弈)","中华智慧","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","185"
"198","排队论与服务设计","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","143"
"199","马尔可夫链与文本生成","信息论与编码","B级","1","交互叙事","87","高可行","70.8","60","低","1","探索性补充；短工时；技术风险低（文本生成）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","194"
"200","万物理论(宇宙起源简史)","物理模拟","S级","7","交互叙事","39","低可行","72.6","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","186"
